Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,284.5,294.5,282.0,283.0,272.00030517578125,4248062
2020-01-03,284.5,291.0,279.5,281.5,270.55859375,4297653
2020-01-06,282.0,286.0,273.0,275.0,264.3112487792969,2423762
2020-01-07,277.5,279.0,253.5,259.0,248.93313598632812,4845743
2020-01-08,255.0,259.5,249.0,249.0,239.32180786132812,2386090
2020-01-09,253.0,256.5,248.0,255.0,245.08860778808594,2150585
2020-01-10,255.0,257.0,243.0,245.0,235.47727966308594,2341446
2020-01-13,247.5,254.0,244.5,250.5,240.76348876953125,1964555
2020-01-14,250.5,254.0,247.5,247.5,237.88009643554688,1871512
2020-01-15,250.0,253.5,239.0,239.0,229.7104949951172,3302530
2020-01-16,240.0,244.0,239.0,242.5,233.07443237304688,1492901
2020-01-17,245.5,245.5,238.5,242.5,233.07443237304688,1564096
2020-01-20,242.0,242.5,236.0,238.0,228.7493438720703,1098073
2020-01-30,215.0,221.0,214.5,214.5,206.16275024414062,1378220
2020-01-31,214.5,218.5,203.0,209.0,200.8765411376953,1927220
2020-02-03,205.0,218.5,195.0,217.0,208.5655975341797,2667047
2020-02-04,220.0,222.5,218.0,222.5,213.85182189941406,2275500
2020-02-05,223.0,224.0,216.0,216.0,207.6044464111328,1347625
2020-02-06,218.5,230.0,218.5,227.0,218.17691040039062,1838205
2020-02-07,225.0,225.0,217.5,217.5,209.04615783691406,1148120
2020-02-10,216.0,223.0,212.0,219.5,210.96841430664062,1046634
2020-02-11,222.5,233.5,222.0,230.0,221.06028747558594,2273090
2020-02-12,228.0,237.0,228.0,236.5,227.30764770507812,2265888
2020-02-13,236.5,249.0,236.0,240.0,230.67161560058594,3569122
2020-02-14,240.0,242.5,236.0,242.0,232.59390258789062,1557915
2020-02-17,239.5,242.5,236.5,238.5,229.22991943359375,880465
2020-02-18,237.5,243.5,236.0,240.0,230.67161560058594,908552
2020-02-19,244.0,244.0,238.0,239.0,229.7104949951172,816671
2020-02-20,241.5,244.0,240.0,242.0,232.59390258789062,822217
2020-02-21,243.5,243.5,235.0,235.0,225.86595153808594,868462
2020-02-24,229.0,240.0,227.0,240.0,230.67161560058594,1060157
2020-02-25,235.5,241.5,234.0,236.0,226.8271026611328,1155369
2020-02-26,233.5,246.0,232.0,240.0,230.67161560058594,2907440
2020-02-27,245.0,245.0,227.0,227.0,218.17691040039062,1861651
2020-03-02,220.5,230.5,220.0,225.0,216.254638671875,1100320
2020-03-03,234.0,239.0,230.0,233.5,224.42425537109375,1286943
2020-03-04,233.5,233.5,226.0,228.5,219.61859130859375,817914
2020-03-05,234.0,236.5,230.5,230.5,221.54086303710938,982964
2020-03-06,228.0,234.5,227.5,230.5,221.54086303710938,857367
2020-03-09,231.5,231.5,215.0,215.5,207.12388610839844,1370310
2020-03-10,216.0,219.5,211.0,219.5,210.96841430664062,1450020
2020-03-11,220.0,223.0,212.5,212.5,204.24049377441406,899304
2020-03-12,211.0,211.0,191.5,195.0,187.42068481445312,1866041
2020-03-13,178.0,188.0,175.5,186.0,178.77049255371094,2142008
2020-03-16,187.5,192.0,168.0,168.0,161.47012329101562,2528607
2020-03-17,164.0,175.5,158.0,172.0,165.31466674804688,3779404
2020-03-18,176.0,189.0,175.5,189.0,181.65391540527344,3699713
2020-03-19,188.5,207.5,180.0,207.5,199.43484497070312,12591791
2020-03-20,227.0,227.0,213.5,213.5,205.2016143798828,4855513
2020-03-23,209.0,219.0,203.5,219.0,210.48785400390625,2494391
2020-03-24,224.0,232.5,223.5,225.0,216.254638671875,4048656
2020-03-25,231.5,235.0,220.0,220.0,211.448974609375,2890844
2020-03-26,221.0,229.5,213.5,228.5,219.61859130859375,2341661
2020-03-27,233.5,234.0,214.0,216.5,208.08502197265625,2200667
2020-03-30,216.0,229.5,211.5,225.0,216.254638671875,2523808
2020-03-31,223.0,231.5,220.5,231.5,222.5019989013672,3220887
2020-04-01,228.0,230.5,224.0,225.0,216.254638671875,2187371
2020-04-06,229.0,231.5,225.0,228.0,219.13803100585938,1785681
2020-04-07,228.0,232.0,225.0,225.0,216.254638671875,2427646
2020-04-08,225.0,226.5,219.0,226.5,217.69635009765625,1804144
